Owner,Situs Address,ZIP,Parcel ID,Geo ID,Land Type,Acres,Market Value
100 CONGRESS OWNER LLC,  100 CONGRESS AVE   TX 78701,78701,192781,0205010801,COMMERCIAL IMPROVED,1.01470006,"$251,311,105"
1000 WEST VENTURES LTD &,  1000 WEST AVE AUSTIN TX 78701,78701,196616,0208000811,COMMERCIAL IMPROVED,0.27149999,"$2,900,000"
1002 W AVE LLC,  1002 WEST AVE   TX 78701,78701,196615,0208000810,COMMERCIAL RES CONVERSION,0.30599999,"$3,557,337"
1003 FAMILY LIMITED PARTNERSHIP,  1003 RIO GRANDE ST   TX 78701,78701,821201,0208001607,COMMERCIAL RES CONVERSION,0,"$3,540,923"
1017 HOLDINGS LLC,E 500 5 ST   TX 78701,78701,194564,0206040501,COMMERCIAL IMPROVED,0.0641,"$715,000"
1017 HOLDINGS LLC,  503 NECHES ST   TX 78701,78701,194565,0206040502,COMMERCIAL IMPROVED,0.0486,"$1,575,170"
1104 NUECES LTD,  1104 NUECES ST   TX 78701,78701,196704,0208001709,COMMERCIAL RES CONVERSION,0.16,"$1,833,073"
1107 A&B HOLDINGS LLC,  1107 NUECES ST AUSTIN TX 78701,78701,196739,0208010404,COMMERCIAL IMPROVED,0.073,"$950,526"
1107 RIO GRANDE LLC,  1105 RIO GRANDE ST   TX 78701,78701,196699,0208001701,COMMERCIAL RES CONVERSION,0.0844,"$730,575"
1108 NUECES OWNER LLC,  1108 NUECES ST AUSTIN TX 78701,78701,196703,0208001708,MULTIFAMILY,0.25350001,$0
1111 GUADALUPE LLC,  1111 GUADALUPE ST AUSTIN TX 78701,78701,196863,0208011401,COMMERCIAL IMPROVED,0.0762,"$2,456,508"
115 PROVIDENT HOLDINGS LLC,E 115 5 ST   TX 78701,78701,192828,0205020708,COMMERCIAL IMPROVED,0.0876,"$3,112,327"
1206 NUECES LLC,  1206 NUECES ST AUSTIN TX 78701,78701,196715,0208001808,COMMERCIAL RES CONVERSION,0.095,"$1,260,000"
1210 WEST LLC,  1210 WEST AVE AUSTIN TX 78701,78701,199609,0210000309,SINGLE FAMILY RESIDENCE,0.2755,"$1,692,000"
12TH & SABINE OWENR LLC,E 708 12 ST   TX 78701,78701,197047,0208051515,COMMERCIAL IMPROVED,1,"$30,312,750"
1301 LAVACA LP,  1301 LAVACA ST   TX 78701,78701,199985,0210022509,COMMERCIAL IMPROVED,0.1736,$0
1301 NUECES ST LLC,  1301 NUECES ST   TX 78701,78701,199731,0210020710,COMMERCIAL IMPROVED,0.20280001,"$2,958,100"
1303 PROPERTIES LTD,  807 BRAZOS ST   TX 78701,78701,194475,0206031405,COMMERCIAL IMPROVED,0.2703,"$2,166,784"
1303 PROPERTIES LTD,W 217 9 ST   TX 78701,78701,196876,0208011602,COMMERCIAL IMPROVED,0.54070002,"$11,700,000"
1304 LAVACA STREET JV LLC,    LAVACA ST     78701,78701,979069,0210021916,,0.40979999,$0
